issue_year|issue_date|edifil_code|issue_name|stamp_name|stamp_face_value|stamp_size|stamp_type|stamp_color|stamp_paper_type|stamp_perforation|stamp_artist|stamp_print_type|stamp_printer|issue_amount_printed|stamp_amount_printed|issue_market_value|stamp_market_value|issue_description|stamp_description|issue_notes
1852|1852/01/01|12|Isabel II|6 Cuartos|6 Cuartos|24x18 mm|Sello|Rosa|Blanco|Sin dentar|Bartolomé Coromina|Grabado en seco|Fábrica Nacional Del Sello|n/a|4819500|n/a|12|Tercera emisión de sellos de España, con la efigie de la Reina Isabel II mirando a la izquierda, orlada con una corona de laurel.|Sello de 6 cuartos rosa, destinado al franqueo de cartas ordinarias.|Esta serie presenta un nuevo diseño encargado a Bartolomé Coromina. Fue impresa sobre papel blanco sin marca de agua. El valor de 2 reales de esta serie es especialmente raro debido a su escasa tirada. Los valores de mercado indicados corresponden a ejemplares usados en condiciones normales de conservación.
1852|1852/01/01|13||1 Real|1 Real|24x18 mm|Sello|Azul|Blanco|Sin dentar|Bartolomé Coromina|Grabado en seco|Fábrica Nacional Del Sello|n/a|42450|n/a|90||Sello de 1 real azul.|
1852|1852/01/01|14||2 Reales|2 Reales|24x18 mm|Sello|Rojo|Blanco|Sin dentar|Bartolomé Coromina|Grabado en seco|Fábrica Nacional Del Sello|n/a|12000|n/a|3000||Sello de 2 reales rojo.|
1852|1852/01/01|15||5 Reales|5 Reales|24x18 mm|Sello|Verde|Blanco|Sin dentar|Bartolomé Coromina|Grabado en seco|Fábrica Nacional Del Sello|n/a|n/a|n/a|250||Sello de 5 reales verde.|
1852|1852/01/01|16||6 Reales|6 Reales|24x18 mm|Sello|Azul Pálido|Blanco|Sin dentar|Bartolomé Coromina|Grabado en seco|Fábrica Nacional Del Sello|n/a|n/a|n/a|400||Sello de 6 reales azul pálido.|
||||||||||||||||||||
1853|1853/01/01|17|Isabel II|6 Cuartos|6 Cuartos|24x18 mm|Sello|Rosa|Blanco|Sin dentar|Bartolomé Coromina|Grabado En Seco|Fábrica Nacional Del Sello|n/a|5334300|n/a|12|Cuarta emisión de sellos de España, con la efigie de la Reina Isabel II mirando a la derecha y portando una diadema.|Sello de 6 cuartos rosa, para el franqueo de correspondencia nacional ordinaria.|Esta emisión de 1853 presenta un nuevo grabado de Bartolomé Coromina, conocido como la efigie con diadema. Fue la última serie antes de la introducción de los sellos para el correo local de Madrid. Se imprimieron en pliegos de 170 ejemplares. Los valores de mercado se refieren a ejemplares usados.
1853|1853/01/01|18||1 Real|1 Real|24x18 mm|Sello|Azul|Blanco|Sin dentar|Bartolomé Coromina|Grabado En Seco|Fábrica Nacional Del Sello|n/a|63500|n/a|85||Sello de 1 real azul.|
1853|1853/01/01|19||2 Reales|2 Reales|24x18 mm|Sello|Rojo|Blanco|Sin dentar|Bartolomé Coromina|Grabado En Seco|Fábrica Nacional Del Sello|n/a|12000|n/a|1600||Sello de 2 reales rojo.|
1853|1853/01/01|20||5 Reales|5 Reales|24x18 mm|Sello|Verde|Blanco|Sin dentar|Bartolomé Coromina|Grabado En Seco|Fábrica Nacional Del Sello|n/a|n/a|n/a|225||Sello de 5 reales verde.|
1853|1853/01/01|21||6 Reales|6 Reales|24x18 mm|Sello|Azul Pálido|Blanco|Sin dentar|Bartolomé Coromina|Grabado En Seco|Fábrica Nacional Del Sello|n/a|n/a|n/a|350||Sello de 6 reales azul pálido.|
||||||||||||||||||||
1853|1853/07/15|22|Correo Interior De Madrid|1 Cuarto|1 Cuarto|22x18 mm|Sello|Bronce|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|750|Emisión destinada exclusivamente al correo urbano de Madrid, representando el escudo de la Villa (el Oso y el Madroño).|Sello de 1 cuarto en color bronce o cobre.|Se trata de la primera emisión para correo interior en España. Estos sellos son muy valorados por los coleccionistas de historia postal madrileña. Los precios indicados corresponden a ejemplares usados; los ejemplares nuevos (con goma) tienen un valor de mercado muy superior. El sello de 3 cuartos aparece meses después para cubrir las tarifas de cartas de mayor peso dentro de la capital.
1853|1853/07/15|23||3 Cuartos|3 Cuartos|22x18 mm|Sello|Bronce|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|950||Sello de 3 cuartos en color bronce o cobre.|
||||||||||||||||||||
1854|1854/01/01|24|Escudo De España|6 Cuartos|6 Cuartos|22x18 mm|Sello|Carmín|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|45|Emisión de sellos con el Escudo de Armas de España, utilizados para el franqueo de impresos y correspondencia según la nueva tarifa.|Sello de 6 cuartos carmín.|Esta serie marca un cambio en el diseño, sustituyendo la efigie real por el escudo de armas de España. El diseño fue realizado por Bartolomé Coromina. Los valores de mercado indicados corresponden a ejemplares usados en buen estado de conservación.
1854|1854/01/01|25||2 Reales|2 Reales|22x18 mm|Sello|Rojo|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|12||Sello de 2 reales rojo.|
1854|1854/01/01|26||5 Reales|5 Reales|22x18 mm|Sello|Verde|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|10||Sello de 5 reales verde.|
1854|1854/01/01|27||6 Reales|6 Reales|22x18 mm|Sello|Azul|Blanco|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|40||Sello de 6 reales azul.|
||||||||||||||||||||
1854|1854/07/01|28|Escudo De España|1/2 Onza negro sobre amarillo|1/2 Onza|20x24 mm|Sello|Amarillo|Papel Tintado|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|115|n/a|Emisión de sellos para el Servicio Oficial. Los valores indican el peso máximo del envío en onzas o libras. Los sellos presentan el escudo de España con corona real.|Sello de 1/2 onza en color amarillo destinado al correo oficial.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. Tuvieron validez postal hasta el 31 de diciembre de 1854.
1854|1854/07/01|29||1 Onza negro sobre rosa|1 Onza|20x24 mm|Sello|Rosa|Papel Tintado|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 onza en color rosa destinado al correo oficial.|
1854|1854/07/01|30||4 Onzas negro sobre verde|4 Onzas|20x24 mm|Sello|Verde|Papel Tintado|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 onzas en color verde destinado al correo oficial.|
1854|1854/07/01|31||1 Libra negro sobre azul|1 Libra|20x24 mm|Sello|Azul|Papel Azulado|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 libra en color azul sobre papel azulado para correo oficial.|
||||||||||||||||||||
1854|1854/11/01|32|Escudo De España|2 Cuartos Verde|2 Cu.|20x24 mm|Sello|Verde|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|1195|n/a|Emisión de sellos para el Correo Interior de Madrid (2 cuartos) y Correo General. Los sellos muestran el escudo de armas de España con corona real.|Sello de 2 cuartos en color verde destinado principalmente al correo interior de Madrid.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. El valor de mercado de la serie es una estimación para el conjunto de los tres valores en estado usado/lujo según catálogos de referencia.
1854|1854/11/01|33||4 Cuartos Carmín|4 Cuartos|20x24 mm|Sello|Carmín|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color carmín para el franqueo de cartas sencillas.|
1854|1854/11/01|34||1 Real Azul|1 Real|20x24 mm|Sello|Azul Oscuro|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color azul oscuro para correo certificado o internacional.|
||||||||||||||||||||
1855|1855/01/01|35|Escudo De España|1/2 Onza negro sobre amarillo|1/2 Onza|20x24 mm|Sello|Amarillo|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|12|n/a|Emisión con el escudo de España y corona real. La principal diferencia con la serie anterior es el uso de papel con marca de agua de lazos.||Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. El papel con marca de agua se introdujo para dificultar las falsificaciones.
1855|1855/01/01|36||1 Onza negro sobre rosa|1 Onza|20x24 mm|Sello|Rosa|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1855|1855/01/01|37||4 Onzas negro sobre verde|4 Onzas|20x24 mm|Sello|Verde|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1855|1855/01/01|38||1 Libra negro sobre azul|1 Libra|20x24 mm|Sello|Azul|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
||||||||||||||||||||
1855|1855/04/01|39|Isabel II|2 Cuartos Verde|2 Cuartos|20x24 mm|Sello|Verde|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|12|n/a|Serie conocida como Derecha por la orientación de la efigie de la Reina Isabel II. Es la primera serie con efigie que utiliza papel con marca de agua (lazos).|Sello de 2 cuartos en color verde para el correo interior de Madrid.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. Existe una gran variedad de tonos en esta emisión.
1855|1855/04/01|40||4 Cuartos Carmín|4 Cuartos|20x24 mm|Sello|Carmín|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color carmín para el franqueo nacional.|
1855|1855/04/01|41||1 Real Azul|1 Real|20x24 mm|Sello|Azul|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color azul para correo certificado.|
1855|1855/04/01|42||2 Reales Marrón|2 Reales|20x24 mm|Sello|Marrón Violeta|Papel Con Marca De Agua (Lazos)|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 reales en color marrón violeta para correo certificado pesado.|
||||||||||||||||||||
1860|1860/02/01|51|Isabel II|2 Cuartos Verde|2 Cuartos|20x24 mm|Sello|Verde|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|Emisión con la efigie de la Reina Isabel II mirando a la izquierda. Es la primera serie de España que se emitió con dentado de forma oficial y generalizada.|Sello de 2 cuartos en color verde para el correo interior de Madrid.|Grabados por José Pérez Varela. Aunque la emisión comenzó en 1860, el valor de 19 cuartos no se emitió hasta 1861.
1860|1860/02/01|52||4 Cuartos Naranja|4 Cuartos|20x24 mm|Sello|Naranja|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color naranja para el franqueo nacional sencillo.|
1860|1860/02/01|53||12 Cuartos Carmín|12 Cuartos|20x24 mm|Sello|Carmín|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 12 cuartos en color carmín para cartas de doble peso o destinos específicos.|
1860|1860/02/01|54||19 Cuartos Marrón|19 Cuartos|20x24 mm|Sello|Marrón|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 19 cuartos en color marrón para correo internacional.|
1860|1860/02/01|55||1 Real Azul|1 Real|20x24 mm|Sello|Azul|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color azul para correo certificado.|
1860|1860/02/01|56||2 Reales Lila|2 Reales|20x24 mm|Sello|Lila|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 reales en color lila para franqueos elevados.|
||||||||||||||||||||
1862|1862/07/16|57|Isabel II|2 Cuartos Añil|2 Cuartos|20x24 mm|Sello|Añil|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|125|n/a|Nueva efigie de la Reina Isabel II con diadema en lugar de corona real, dentro de un marco circular. Es la primera serie que unifica el diseño para todos los valores.|Sello de 2 cuartos en color añil para el correo interior de Madrid.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. Se conocen ejemplares con dentado desplazado.
1862|1862/07/16|58||4 Cuartos Marrón|4 Cuartos|20x24 mm|Sello|Marrón|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color marrón para el franqueo nacional.|
1862|1862/07/16|59||12 Cuartos Azul|12 Cuartos|20x24 mm|Sello|Azul|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 12 cuartos en color azul para cartas de doble peso.|
1862|1862/07/16|60||19 Cuartos Rosa|19 Cuartos|20x24 mm|Sello|Rosa|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 19 cuartos en color rosa para correo internacional.|
1862|1862/07/16|61||1 Real Chocolate|1 Real|20x24 mm|Sello|Chocolate|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color chocolate para correo certificado.|
1862|1862/07/16|62||2 Reales Verde|2 Reales|20x24 mm|Sello|Verde|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 reales en color verde para franqueos elevados.|
||||||||||||||||||||
1864|1864/01/01|63|Isabel II|2 Cuartos Añil|2 Cuartos|20x24 mm|Sello|Añil|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|120|n/a|Nueva serie de la Reina Isabel II. Aunque el diseño es similar a la anterior, se diferencia por el grabado y por utilizar un papel sin marca de agua.|Sello de 2 cuartos en color añil para el correo interior de Madrid.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. Se distinguen por la nitidez del grabado respecto a emisiones anteriores.
1864|1864/01/01|64||4 Cuartos Carmín|4 Cuartos|20x24 mm|Sello|Carmín|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color carmín para el franqueo nacional.|
1864|1864/01/01|65||12 Cuartos Naranja|12 Cuartos|20x24 mm|Sello|Naranja|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 12 cuartos en color naranja para cartas de doble peso.|
1864|1864/01/01|66||19 Cuartos Rosa|19 Cuartos|20x24 mm|Sello|Rosa|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 19 cuartos en color rosa para correo internacional.|
1864|1864/01/01|67||1 Real Marrón|1 Real|20x24 mm|Sello|Marrón|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color marrón para correo certificado.|
1864|1864/01/01|68||2 Reales Verde|2 Reales|20x24 mm|Sello|Verde|Papel Sin Marca De Agua|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 reales en color verde para franqueos elevados.|
||||||||||||||||||||
1865|1865/01/01|69|Isabel II|2 Cuartos Añil|2 Cuartos|20x24 mm|Sello|Añil|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|125|n/a|Serie de la Reina Isabel II con efigie hacia la izquierda en marco ovalado. Esta emisión destaca por la variedad de valores y colores adaptados a las nuevas tarifas postales.|Sello de 2 cuartos en color añil para el correo interior de Madrid.|Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. Se incluyen en esta serie los valores con el nuevo diseño de marco circular para céntimos de escudo.
1865|1865/01/01|70||4 Cuartos Azul|4 Cuartos|20x24 mm|Sello|Azul|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 cuartos en color azul para el franqueo nacional sencillo.|
1865|1865/01/01|71||12 Cuartos Naranja|13 cu|20x24 mm|Sello|Naranja|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 12 cuartos en color naranja para cartas de doble peso.|
1865|1865/01/01|72||19 Cuartos Rosa|19 Cuartos|20x24 mm|Sello|Rosa|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 19 cuartos en color rosa para correo internacional.|
1865|1865/01/01|73||1 Real Verde|1 Real|20x24 mm|Sello|Verde|Papel Blanco|Sin Dentar|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 1 real en color verde para correo certificado.|
1865|1865/01/01|74||2 Cuartos Rosa|2 Cuartos|20x24 mm|Sello|Rosa|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 reales en color lila para franqueos elevados.|
1865|1865/01/01|75||4 Cuartos Azul|4 Cuartos|20x24 mm|Sello|Azul|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 2 céntimos de escudo en color rosa. Diseño circular.|
1865|1865/01/01|76||12 Cuartos Azul y Rojo|12 Cuartos|20x24 mm|Sello|Azul y Rojo|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 4 céntimos de escudo en color azul. Diseño circular.|
1865|1865/01/01|77||19 Cuartos Castaño y Rosa|10 C. Esc.|20x24 mm|Sello|Castaño y Rosa|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 10 céntimos de escudo en color verde.|
1865|1865/01/01|78||1 Real Verde|1 Real|20x24 mm|Sello|Verde|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 20 céntimos de escudo en color lila.|
1865|1865/01/01|79||2 Reales Lila|2 Reales|20x24 mm|Sello|Lila|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a||Sello de 19 cuartos en color marrón, cambio de color del código 72.|
||||||||||||||||||||
1866|1866/01/01|80|Isabel II|2 Cuartos Rosa|2 Cuartos|20x24 mm|Sello|Rosa|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|85|n/a|Emisión con la efigie de la Reina Isabel II mirando a la izquierda. Esta serie marca la transición definitiva al sistema monetario de céntimos de escudo.||Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. El papel utilizado es blanco y liso, sin marca de agua.
1866|1866/01/01|81||4 Cuartos Azul|4 Cuartos|20x24 mm|Sello|Azul|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1866|1866/01/01|82||12 Cuartos Naranja|12 Cuartos|20x24 mm|Sello|Naranja|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1866|1866/01/01|83||19 Cuartos Castaño|19 Cuartos|20x24 mm|Sello|Castaño|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1866|1866/01/01|84||10 Cuartos Verde|10 Cuartos|20x24 mm|Sello|Verde|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1866|1866/01/01|85||20 Cuartos Lila|20 Cuartos|20x24 mm|Sello|Lila|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
||||||||||||||||||||
1866|1866/08/01|86|Isabel II|20 Céntimos De Escudo Lila|20 C. Esc.|20x24 mm|Sello|Lila|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|12|n/a|Emisión de un solo valor para ajustar el color del sello de 20 céntimos de escudo, que anteriormente era verde, cumpliendo con las normativas de la Unión Postal.|Sello de 20 céntimos de escudo en color lila.|Grabado por José Pérez Varela. Es un cambio de color del diseño anterior para evitar confusiones con otros valores de la serie.
||||||||||||||||||||
1867|1867/01/01|87|Isabel II|2 Cuartos Marrón|2 Cuartos|20x24 mm|Sello|Marrón|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|95|n/a|Nueva serie de la Reina Isabel II con efigie hacia la izquierda. El diseño se simplifica y se eliminan los adornos de las esquinas en algunos valores, presentando un aspecto más limpio.||Grabados por José Pérez Varela. Es la última gran serie de la Reina antes de la Revolución de 1868. Se caracteriza por una impresión muy nítida.
1867|1867/01/01|88||4 Cuartos Azul|4 Cuartos|20x24 mm|Sello|Azul|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1867|1867/01/01|89||12 Cuartos Amarillo|12 Cuartos|20x24 mm|Sello|Amarillo|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1867|1867/01/01|90||19 Cuartos Rosa|19 Cuartos|20x24 mm|Sello|Rosa|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1867|1867/01/01|91||10 Cuartos Verde|10 Cuartos|20x24 mm|Sello|Verde|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
1867|1867/01/01|92||20 Cuartos Lila|20 Cuartos|20x24 mm|Sello|Lila|Papel Blanco|14|José Pérez Varela|Tipografía|Fábrica Nacional Del Sello|n/a|n/a|n/a|n/a|||
||||||||||||||||||||
1867|1867/07/01|93|Cifras E Isabel II|5 Milésimas De Escudo|5 Milésimas|20x25 mm|Sello|Verde|Papel Blanco|14|Eugenio Julia Jover|Tipografia|Fabrica Nacional Del Sello|n/a|n/a|94|32|Emision De Sellos Para El Franqueo De Impresos Y Correspondencia Presentando La Efigie De Isabel Ii En Un Medallon Central O Cifras Del Valor Segun El Modelo. Los Grabados Fueron Realizados Por Eugenio Julia Jover E Impresos En La Fabrica Nacional Del Sello.|Sello Con Cifra De Valor En El Centro Dentro De Un Marco Decorado.|Serie De Cuatro Valores Emitida Bajo El Reinado De Isabel Ii. Los Valores De 5 Y 10 Milesimas Se Destinaron Inicialmente A Impresos Pero Una Real Orden De 1868 Permitio Su Uso General. El Dentado Es De Peine 14.
1867|1867/07/01|94||10 Milésimas De Escudo|10 Milésimas|20x25 mm|Sello|Azul|Papel Blanco|14|Eugenio Julia Jover|Tipografia|Fabrica Nacional Del Sello|n/a|n/a||32||Sello Con Cifra De Valor En El Centro Dentro De Un Marco Decorado.|
